block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467189,1524122879,1524122885,6,120,13.336806226887765,4.0,2.0,64.26056821019283
5467190,1524122883,1524122928,45,115,9.24075070045304,4.040304154862593,2.0,19.90367601526988
5467191,1524122927,1524122934,7,202,9.934701577260565,4.0,2.0,48.85069478610523
5467192,1524122932,1524122963,31,120,6.244870312045493,4.0,2.0,32.62031627906976
5467193,1524122963,1524122971,8,264,10.76853652205158,4.0,1.0,50.0
5467194,1524122966,1524122986,20,110,7.249603078676625,3.0,2.002,21.091521752738654
5467195,1524122985,1524122994,9,149,9.800185611791894,5.0,3.0,41.0
5467196,1524122992,1524122999,7,125,6.144333304824529,4.0,3.0,19.40180180180179
5467197,1524122997,1524123008,11,139,4.953334200433048,4.0,3.0,4.0
5467198,1524123007,1524123015,8,182,31.917371828183306,44.171475219325394,4.0,55.0
5467199,1524123015,1524123033,18,57,9.26490102267133,6.760370735689785,2.0,24.0
5467200,1524123032,1524123045,13,276,8.431589966969842,5.0,2.0,50.0
5467201,1524123046,1524123055,9,210,10.37991883364448,4.0,3.0,51.9
5467202,1524123056,1524123074,18,262,4.711813049726462,2.0,1.0,22.732637037037033
5467203,1524123074,1524123081,7,168,5.627699731536826,3.0,2.0,19.68000955350653
5467204,1524123078,1524123118,40,167,6.216921327690824,3.0,2.0,15.0
5467205,1524123118,1524123127,9,186,39.86900050793941,50.0,5.0,102.0
5467206,1524123123,1524123137,14,159,4.7751857337948085,3.0,2.0,7.730753117536767
5467207,1524123136,1524123142,6,186,37.730399396536704,5.0,2.0,100.0
5467208,1524123142,1524123152,10,225,23.467832980676445,16.50532193038304,3.0,100.0
5467209,1524123146,1524123156,10,239,25.13505562490746,3.0,1.1,106.59990594655919
5467210,1524123156,1524123171,15,179,6.717916532507012,3.0,2.0,27.61996377883989
5467211,1524123170,1524123182,12,160,18.79987523119877,5.0,2.0,99.54000331125826
5467212,1524123181,1524123187,6,272,11.22624792993723,3.0,1.0,50.0
5467213,1524123184,1524123192,8,173,9.57967917903877,3.0,2.0,37.941084003993886
5467214,1524123189,1524123208,19,65,17.194067685096048,8.124731520628726,2.0,49.76809050866858
5467215,1524123207,1524123216,9,224,10.088797532482307,4.0,2.0,50.0
5467216,1524123215,1524123229,14,326,4.4971520664088445,1.0,1.0,17.806495833333194
5467217,1524123222,1524123231,9,151,2.995613133367626,2.0,2.0,4.0
5467218,1524123230,1524123244,14,219,31.790739136531013,10.0,3.0,112.0
5467219,1524123243,1524123251,8,43,43.53128989195998,40.89039678753383,18.041073625684305,100.0
5467220,1524123251,1524123274,23,201,6.435840613028301,3.0000000004019047,2.0,10.226540591199093
5467221,1524123276,1524123292,16,188,20.13539453097812,14.122277358612843,4.0,55.0
5467222,1524123290,1524123311,21,164,12.938684249020882,5.0,3.0,55.0
5467223,1524123310,1524123315,5,54,13.626461887235822,5.0,1.0,50.0
5467224,1524123314,1524123318,4,204,20.57482847338307,5.0,3.0,55.0
5467225,1524123318,1524123328,10,11,6.048086672715911,3.0,3.0,35.17103622222223
5467226,1524123327,1524123351,24,203,10.130271105472602,2.4530470774868185,2.0,54.70801999347754
5467227,1524123350,1524123360,10,178,42.7022869601139,40.87983194156672,4.0,100.0
5467228,1524123356,1524123362,6,227,15.477437977637468,16.910833333333343,3.0,50.0
5467229,1524123361,1524123389,28,210,2.3949444535773363,3.0,1.0,3.0
5467230,1524123386,1524123401,15,213,43.23339035212283,16.841516129032257,1.0,100.0
5467231,1524123397,1524123415,18,161,21.24710346502705,8.027596480108198,3.0,55.0
5467232,1524123415,1524123422,7,52,76.72383933009245,99.27087283614864,30.804739423004943,100.0
5467233,1524123421,1524123426,5,235,6.774586168267007,3.0698117769992836,1.0,18.921964444444377
5467234,1524123425,1524123463,38,47,9.951808591861615,4.835079620334266,4.0,46.21537651873458
5467235,1524123462,1524123499,37,273,35.355392425462995,17.067030264805837,1.0,100.0
5467236,1524123498,1524123523,25,186,15.017316979903507,5.0,4.0,58.15627158671585
5467237,1524123523,1524123528,5,172,13.1617685164356,5.0,4.0,47.146256900212244
5467238,1524123527,1524123555,28,317,6.269902259458567,1.0,1.0,45.280415498154966
5467239,1524123555,1524123564,9,219,17.696206410794048,5.0,4.0,91.0
5467240,1524123563,1524123578,15,190,3.7077932227626134,3.0,2.002,4.811638765665649
5467241,1524123577,1524123610,33,120,51.90058605323239,55.0,30.0,55.0
5467242,1524123609,1524123615,6,280,10.993358323067216,5.0,1.0,50.0
5467243,1524123614,1524123622,8,148,12.713610188629968,5.0,4.0,55.0
5467244,1524123621,1524123662,41,58,14.537736221818607,5.0,4.0,55.0
5467245,1524123661,1524123677,16,202,16.765856729555253,5.0,4.0,55.0
5467246,1524123676,1524123685,9,206,12.236180532784788,4.0,2.0,50.0
5467247,1524123684,1524123710,26,213,41.68755480276903,50.0,4.0,112.0
